Crop wild relative	Related crop use category	Related crop common name
Allium ampeloprasum L.	Vegetables (flavouring)	Garlic
Allium atroviolaceum Boiss.	Vegetables (flavouring)	Garlic
Allium bourgeaui Rech. f.	Vegetables (flavouring/green)	Leek
Allium bourgeaui Rech. f. subsp. bourgeaui	Vegetables (flavouring/green)	Leek
Allium bourgeaui subsp. creticum Bothmer	Vegetables (flavouring/green)	Leek
Allium bourgeaui subsp. cycladicum Bothmer	Vegetables (flavouring/green)	Leek
Allium commutatum Guss.	Vegetables (flavouring/green)	Leek
Allium convallarioides Grossh.	Vegetables (flavouring)	Alliums
Allium corsicum Jauzein & al.	Vegetables (flavouring)	Alliums
Allium exaltatum (Meikle) Brullo, Pavone, Salmeri & Venora	Vegetables (flavouring)	Alliums
Allium fistulosum L.	Vegetables (flavouring)	Chinese chives
Allium lojaconoi Brullo, Lanfr. & Pavone	Vegetables (flavouring)	Alliums
Agropyron tanaiticum Nevski	Fodder/forage	Crested wheatgrass
Agrostis capillaris L.	Fodder/forage	Brown top
Agrostis capillaris L. subsp. capillaris	Fodder/forage	Brown top
Agrostis capillaris subsp. oreophila (O. Schwarz) Soják	Fodder/forage	Brown top
Agrostis capillaris subsp. repens (Schur) Soják	Fodder/forage	Brown top
Agrostis gigantea Roth	Fodder/forage	Red top
Agrostis gigantea Roth subsp. gigantea	Fodder/forage	Red top
Agrostis gigantea subsp. glaucescens (Widén) Valdés & H. Scholz	Fodder/forage	Red top
Agrostis gigantea subsp. maeotica (Klokov) Tzvelev	Fodder/forage	Red top
Agrostis gigantea subsp. moldavica (Dobrescu & Beldie) Dihoru	Fodder/forage	Red top
Agrostis gigantea subsp. pontica (Grecescu) Dihoru	Fodder/forage	Red top
Agrostis stolonifera L.	Fodder/forage	Creeping bent
Agrostis stolonifera L. subsp. stolonifera	Fodder/forage	Creeping bent
Agrostis stolonifera subsp. albida (Trin.) Tzvelev	Fodder/forage	Creeping bent
Agrostis stolonifera subsp. filfiolia (Link) H. Scholz	Fodder/forage	Creeping bent
Agrostis stolonifera subsp. gaditana (Boiss. & Reut.) Valdés & H. Scholz	Fodder/forage	Creeping bent
Agrostis stolonifera subsp. maritima (Lam.) Vasc.	Fodder/forage	Creeping bent
Agrostis stolonifera subsp. scabriglumis (Boiss. & Reut.) Maire	Fodder/forage	Creeping bent
Agropyron cimmericum Nevski	Cereals	Wheat
Agropyron cristatum (L.) Gaertn.	Cereals	Wheat
Agropyron cristatum (L.) Gaertn. subsp. cristatum	Fodder/forage	Crested wheatgrass
Agropyron cristatum subsp. brandzae (Panţu & Solacolu) Melderis	Fodder/forage	Crested wheatgrass
Agropyron cristatum subsp. kazachstanicum Tzvelev	Fodder/forage	Crested wheatgrass
Agropyron cristatum subsp. pectinatum (M. Bieb.) Tzvelev	Fodder/forage	Crested wheatgrass
Agropyron cristatum subsp. ponticum (Nevski) Tzvelev	Fodder/forage	Crested wheatgrass
Agropyron cristatum subsp. puberulum (Steud.) Tzvelev	Fodder/forage	Crested wheatgrass
Agropyron cristatum subsp. sabulosum Lavrenko	Fodder/forage	Crested wheatgrass
Agropyron cristatum subsp. sclerophyllum Tzvelev	Fodder/forage	Crested wheatgrass
Agropyron dasyanthum Ledeb.	Cereals	Wheat
Agropyron desertorum (Link) Schult.	Cereals	Wheat
Aegilops juvenalis (Thell.) Eig	Cereals	Wheat
Aegilops kotschyi Boiss.	Cereals	Wheat
Aegilops neglecta Bertol.	Cereals	Wheat
Aegilops peregrina (Hack.) Maire & Weiller	Cereals	Wheat
Aegilops peregrina (Hack.) Maire & Weiller subsp. peregrina	Cereals	Wheat
Aegilops peregrina subsp. cylindrostachys (Eig & Feinbrun) Maire & Weiller	Cereals	Wheat
Aegilops speltoides subsp. ligustica (Savign.) Zhuk.	Cereals	Wheat
Aegilops speltoides Tausch	Cereals	Wheat
Aegilops speltoides Tausch subsp. speltoides	Cereals	Wheat
Aegilops tauschii Coss.	Cereals	Wheat
Aegilops tauschii Coss. subsp. tauschii	Cereals	Wheat
Aegilops triuncialis L.	Cereals	Wheat
Aegilops triuncialis L. subsp. triuncialis	Cereals	Wheat
Aegilops triuncialis subsp. persica (Boiss.) Zhuk.	Cereals	Wheat
Aegilops umbellulata Zhuk.	Cereals	Wheat
Aegilops uniaristata Vis.	Cereals	Wheat
Aegilops vavilovii (Zhuk.) Chennav.	Cereals	Wheat
Aegilops ventricosa Tausch	Cereals	Wheat
